code,attrition,treatment,gender,educ,employ1,ethn,entity,age,bosniak,croat,serb,time_usage,freq_usage,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,othersm_1,othersm_2,othersm_3,othersm_4,othersm_5,freq_news,politics_int,numb_forums,trust_media.1,imp_family,imp_career,imp_relg,imp_neigh,imp_ethn,imp_hobby,imp_cntry,matched_percentage.3,percentage_bosniak.3,percentage_serbian.3,percentage_croatian.3,activ,satisf,depression,loneliness,nerv,boredom,joy,isol,fulf,no_friends,freq_fbnews,fbnews_st1,fbnews_st2,fbnews_st3,fbnews_st4,fbnews_st5,fbnews_st6,fbnews_st7,fbnews_st8,outfeel_therm,infeel_therm,trust_pol,trust_inst,trust_media,trust_police,trust_ngo,trust_relg,sd,agr_st1,agr_st2,agr_st3,agr_st4,trust_gov,agr_st5,agr_st6,agr_st7,agr_st8,agr_st9,agr_st10,agr_st11,agr_st12,agr_st13,agr_st14,agr_st15,oth_honest,oth_patriot,oth_broadv,oth_gener,oth_hyp,oth_self,oth_unreliab,oth_intel,oth_evil,in_honest,in_patriot,in_evil,in_broadv,in_gener,in_hyp,in_self,in_unreliab,in_intel,online_data
109,0,1,2,2,1,1,1,42,0.894,0.062,0.014,4,4,1,1,1,2,3,0,1,1,0,0,1,0,0,1,1,1,1,4,3,2,1,1,1,1,83.24420677,87.43754461,4.889364739,7.67309065,6,3,2,3,3,1,3,3,3,3,1,0,0,0,1,0,0,0,1,100,50,1,5,0,2,2,1,6,-3,-3,-3,-3,0,1,-3,4,-3,-3,-3,-3,-3,-3,3,3,4,0,4,4,-4,-4,-4,4,-4,4,4,-4,4,4,-4,-4,-4,4,1
110,0,0,1,4,0,1,1,26,0.003,0.015,0.957,4,4,1,2,1,4,3,2,1,4,5,0,5,0,0,5,3,2,1,3,2,0,1,0,2,0,73.05909618,3.885804917,57.17684377,38.93735131,"3,6",4,2,3,1,4,3,3,3,4,1,1,1,1,1,1,1,0,1,60,60,2,2,1,2,3,2,7,-3,-3,-3,-2,2,7,3,2,-2,2,1,-3,-3,-2,-1,2,0,-1,1,-1,0,0,0,0,0,1,-1,-1,1,1,0,-2,0,0,1
111,0,0,1,5,1,0,1,27,0.119,0.858,0.013,4,4,3,3,3,3,4,3,2,2,5,4,5,0,0,3,2,2,1,4,3,3,1,3,4,2,NA,NA,NA,NA,2,4,2,3,3,2,4,4,4,3,3,0,0,0,1,0,0,0,1,84,97,2,2,2,3,2,3,7,-3,-3,-3,-1,3,4,3,7,0,1,3,-2,-1,-1,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,2,4,0,1,1,29,0.025,0.968,0.001,4,4,1,3,3,3,3,3,3,4,4,0,3,1,0,4,3,1,2,2,3,2,2,2,2,2,NA,NA,NA,NA,"4,5",5,1,1,2,2,4,1,4,0,2,0,0,1,0,-1,0,1,1,84,92,1,1,1,1,2,3,5,-2,-3,-3,0,5,2,-1,6,-1,0,2,-3,-1,-2,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,1,2,0,1,1,18,0.089,0.003,0.903,4,4,1,2,2,3,2,3,3,4,5,5,5,0,0,1,3,2,1,4,4,3,2,4,2,0,NA,NA,NA,NA,"1,4",2,2,3,3,2,3,2,3,2,1,1,1,-1,1,-1,0,0,1,100,91,1,3,0,3,3,1,6,-3,-3,-3,-3,9,2,0,7,-3,3,3,-3,-3,-3,-2,-3,-3,-2,-3,-3,-3,0,0,-2,0,-2,-3,0,-2,0,-3,0,0,-3,0
114,0,0,1,4,1,0,1,42,0.866,0.034,0.034,4,4,2,2,1,2,3,1,1,2,3,0,3,1,0,5,1,2,0,4,3,4,3,4,2,4,NA,NA,NA,NA,"3,4",4,2,3,3,3,4,2,4,4,1,0,1,0,0,0,0,0,1,66,77,1,2,1,3,1,3,6,-3,-3,-3,-1,1,1,3,7,-2,3,3,-3,-3,-3,-3,3,3,4,3,0,0,-4,-4,0,-4,4,-4,-4,4,4,0,-4,-4,4,0
115,0,0,2,4,0,1,1,23,0.866,0.034,0.034,4,4,1,2,1,4,4,3,4,4,5,0,5,0,0,4,1,1,1,4,3,1,2,1,2,2,NA,NA,NA,NA,"1,4",4,2,3,3,2,4,2,4,4,2,1,1,-1,0,-1,1,-1,0,94,95,1,2,2,4,3,1,7,-3,-3,-3,-3,0,4,-1,6,-1,3,3,-1,-2,-1,-3,3,-2,-2,-1,-3,0,1,1,-2,0,3,2,-1,0,-2,-1,2,-1,3,0
116,0,1,2,4,1,1,1,23,0.866,0.034,0.034,4,4,0,2,2,4,4,1,1,4,5,0,3,0,0,3,2,1,0,4,4,2,2,2,3,4,79.8488665,95.2681388,1.892744479,2.839116719,5,4,2,3,3,3,4,1,4,4,1,0,1,0,0,0,0,1,0,60,70,1,3,0,1,4,1,6,-2,-3,-3,-3,2,4,-3,4,1,3,3,-3,-3,0,-3,3,0,0,2,0,-1,-2,-2,-3,-2,0,-4,-4,1,0,0,-1,-1,4,1
117,0,0,2,2,0,1,1,21,0.866,0.034,0.034,4,4,3,2,3,4,4,4,3,4,4,1,5,0,0,4,1,1,1,4,2,4,3,3,3,3,88.33333333,96.69811321,0.471698113,2.830188679,"1,6",2,3,3,4,3,3,2,2,3,1,-1,0,0,1,0,1,1,1,100,100,3,2,2,2,4,2,6,-3,-3,-3,-3,0,4,0,3,-1,3,3,0,-2,-1,-3,3,0,0,0,-3,0,0,0,-3,0,-2,-2,4,-2,-4,0,4,3,-4,1
118,0,0,2,2,0,1,1,20,0.866,0.034,0.034,4,4,2,1,2,3,3,1,3,4,5,0,5,0,0,5,3,3,1,4,3,4,2,3,2,3,NA,NA,NA,NA,1,4,2,1,3,3,4,2,5,4,1,-1,1,1,1,-1,0,1,1,28,80,1,3,0,1,1,1,6,-3,-3,-3,-3,4,1,2,4,-2,3,2,1,1,0,2,3,4,0,3,2,-1,-3,-4,-1,-2,-2,-2,1,2,0,3,2,2,-4,0
119,0,0,2,2,0,-3,1,22,0.866,0.034,0.034,4,4,2,2,3,3,3,1,1,4,4,0,4,0,0,3,1,2,2,4,3,4,2,3,1,3,79.8488665,95.2681388,1.892744479,2.839116719,2,4,2,3,3,1,4,2,4,3,1,0,1,-1,1,1,0,0,1,55,93,3,3,2,2,3,3,3,1,1,1,1,6,3,1,3,-1,1,1,-1,-1,1,-1,-1,-1,2,0,1,1,2,-2,-3,1,-2,-2,-4,-3,-1,1,-1,-1,-2,1
120,0,0,2,4,1,1,1,37,0.866,0.034,0.034,4,4,1,2,1,2,3,2,2,3,0,0,4,0,0,5,2,2,1,4,4,4,4,4,3,4,NA,NA,NA,NA,"2,3,4",5,2,1,2,2,5,1,4,4,1,-1,0,1,1,0,1,-1,1,83,82,1,2,0,2,2,1,7,-3,-3,-3,-3,1,4,-3,4,-3,3,3,-3,-2,-3,-3,3,-1,-4,-1,0,0,2,-1,-4,-1,-3,-4,4,2,1,1,1,3,-4,0
121,0,1,2,2,0,1,1,23,0.856,0.088,0.035,4,4,1,1,1,3,4,1,2,0,0,0,5,0,0,2,1,1,1,4,3,4,4,4,3,4,NA,NA,NA,NA,2,4,2,1,2,1,5,1,4,2,2,0,0,0,0,0,0,0,1,34,100,1,2,1,4,3,4,5,-3,-2,-3,1,3,3,2,6,2,3,2,-2,-2,-2,-2,1,2,3,4,3,-3,-3,-4,-2,-1,2,-1,1,1,1,-2,-2,-2,4,0
122,0,0,2,4,0,1,1,22,0.856,0.088,0.035,4,4,1,1,1,3,4,1,3,4,5,0,2,0,0,1,1,1,0,4,4,4,1,4,1,1,NA,NA,NA,NA,"2,6",4,2,2,5,2,4,3,4,2,3,0,1,0,-1,0,0,1,1,90,90,1,1,3,2,2,1,6,-3,-3,-3,-3,0,4,0,7,0,3,3,-3,-3,-3,0,3,-1,-2,-1,-2,0,2,3,-1,-4,0,-2,-4,2,4,0,-4,0,0,0
123,0,0,2,4,0,3,2,25,0.856,0.088,0.035,4,4,1,2,2,3,4,2,2,4,5,0,5,0,0,5,2,1,2,4,4,2,2,2,3,2,NA,NA,NA,NA,1,3,1,1,3,4,3,2,3,2,2,0,1,-1,-1,1,1,1,1,95,100,4,3,2,4,4,3,6,-2,-2,-3,-2,3,3,2,4,1,2,2,-2,-2,-3,-2,3,0,0,-1,-2,0,1,0,0,1,0,0,-1,0,0,0,1,0,0,0
124,0,1,2,2,0,-1,1,40,0.367,0.002,0.628,4,4,3,3,3,3,2,3,3,4,0,0,5,1,0,4,2,1,1,4,3,3,3,3,3,3,NA,NA,NA,NA,4,3,1,1,2,1,5,1,4,2,1,0,-1,0,0,-1,-1,1,0,49,50,1,2,1,3,3,1,6,-3,-3,-3,-3,1,4,0,4,0,3,3,0,0,1,1,3,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,0
125,0,0,2,4,1,1,1,27,0.121,0.065,0.786,4,4,1,1,1,3,3,1,3,2,5,4,5,0,0,1,1,1,1,4,3,2,1,2,2,2,NA,NA,NA,NA,1,4,2,3,3,2,4,3,4,4,3,1,0,0,1,1,0,1,0,80,90,2,2,1,2,3,2,1,-3,-3,-3,1,5,3,3,4,0,3,3,-2,0,-1,0,0,0,-1,2,-1,0,0,0,-1,1,1,-1,-1,-2,-1,0,-1,-1,-1,0
126,0,1,0,2,1,1,1,27,0.121,0.065,0.786,4,4,0,1,1,2,2,1,2,2,5,2,4,0,1,3,3,1,1,4,3,3,3,3,2,1,87.01923077,92.26519337,3.867403315,3.867403315,"4,6",4,2,3,3,2,4,3,2,4,2,0,0,-1,1,1,-1,1,1,85,75,2,1,1,2,3,2,7,-3,-3,-3,-1,1,6,0,4,3,3,3,-3,-3,-3,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,0,1,0,2,1,2,2,27,0.121,0.065,0.786,4,4,0,1,1,2,2,1,2,2,5,2,4,0,1,3,3,1,1,4,3,3,3,3,2,1,80.79117063,92.77564595,2.721923766,4.502430289,"3,4",5,1,2,2,2,5,1,3,4,1,0,-1,-1,0,1,-1,0,1,15,100,1,2,1,3,3,2,6,-3,-3,-3,1,1,4,3,5,2,3,3,-2,-1,-2,1,1,0,0,-1,-1,0,0,0,-1,0,1,-4,-1,-1,-2,0,0,-1,-1,1
128,0,0,1,4,1,2,2,39,0.121,0.065,0.786,4,4,2,2,2,4,2,3,3,4,0,0,5,0,0,5,2,1,1,4,3,2,2,2,3,4,NA,NA,NA,NA,"4,6",4,2,2,3,3,4,2,4,4,3,1,1,1,1,1,1,1,1,90,93,1,2,1,2,3,2,7,-2,-2,-3,1,4,5,3,5,1,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,1,4,1,2,2,39,0.121,0.065,0.786,4,4,2,2,2,4,2,3,3,4,0,0,5,0,0,5,2,1,1,4,3,2,2,2,3,4,NA,NA,NA,NA,1,4,3,2,4,4,4,2,4,3,3,1,0,1,1,0,1,1,1,92,100,1,1,1,2,5,2,7,-3,-3,-3,2,1,7,-1,4,0,3,3,-3,-3,-3,-2,-1,0,-3,1,-2,0,0,0,0,0,1,-3,-3,3,2,0,0,0,4,0
130,0,1,1,2,0,3,2,22,0.441,0.484,0.041,4,4,1,2,1,3,4,2,1,4,1,0,3,0,0,2,1,1,1,3,3,2,2,2,2,4,81.56934307,91.79716629,3.31841909,4.884414616,"4,6",4,2,1,2,3,3,1,3,4,3,0,0,0,1,0,0,0,1,88,91,1,2,2,3,2,2,6,3,-3,-3,-2,2,5,-1,6,-3,3,0,-3,-3,0,0,0,0,-3,2,-3,0,-2,-1,-2,-1,-4,-4,-1,-4,-4,-4,3,1,-4,1
131,0,0,2,4,0,2,2,21,0.441,0.484,0.041,4,4,0,2,1,3,4,1,1,2,5,2,5,0,0,5,1,2,1,4,2,2,0,1,3,3,NA,NA,NA,NA,"4,5",4,3,3,4,4,3,4,3,4,2,0,0,-1,-1,1,-1,-1,1,65,90,1,1,0,1,1,1,3,-3,-3,-3,-3,0,6,3,6,3,3,3,-3,-3,-3,0,3,-2,-2,0,0,0,-1,-1,0,1,-2,-1,-4,1,0,0,0,0,0,0
132,0,0,2,3,1,2,2,52,0.441,0.484,0.041,4,4,2,2,1,1,3,1,0,3,0,0,1,0,0,4,1,1,1,4,2,2,3,2,2,4,NA,NA,NA,NA,2,2,4,4,4,3,2,4,2,2,3,0,0,1,1,0,1,1,1,100,100,1,1,0,1,2,1,7,-3,-3,-3,3,0,7,-3,7,3,3,3,-3,-3,-3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,1,2,2,0,2,2,18,0.441,0.484,0.041,4,4,0,1,0,2,3,1,1,3,5,5,5,0,0,2,1,1,1,4,4,4,3,4,2,2,NA,NA,NA,NA,1,4,2,1,4,4,4,1,4,4,2,0,0,0,0,0,-1,1,1,30,80,1,1,2,2,1,1,6,-3,-3,-3,-2,2,1,-3,2,-2,3,3,-3,-2,1,0,3,0,0,-3,-2,0,0,-1,-2,0,-2,0,0,-4,-3,0,1,4,0,0
134,0,1,1,5,1,2,2,49,0.441,0.484,0.041,4,3,2,2,2,3,3,2,1,1,0,0,2,1,0,5,2,2,2,4,3,2,4,1,4,3,81.65983607,66.75031368,18.50690088,14.74278545,"5,6",5,1,1,3,3,4,1,4,3,3,0,-1,0,1,0,1,1,1,100,100,2,2,1,1,2,1,5,-3,-3,-3,0,1,1,-3,4,-3,3,0,-3,-1,-3,0,3,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,0,0,2,2,1,2,2,46,0.441,0.484,0.041,4,4,2,3,2,3,2,2,2,3,4,0,3,1,0,4,1,1,1,4,2,2,2,2,2,4,NA,NA,NA,NA,6,3,3,3,3,2,4,2,4,4,1,0,0,0,1,0,0,0,1,90,87,1,1,1,2,1,1,7,-3,-3,-3,-3,0,1,0,6,0,3,3,-3,-3,-3,0,2,0,4,0,-2,-2,2,0,-4,0,0,0,0,0,0,0,0,0,0,0
136,0,0,1,4,0,2,2,30,0.441,0.484,0.041,4,4,2,3,2,4,2,2,3,3,0,0,5,0,0,2,2,1,4,4,4,4,4,4,2,4,NA,NA,NA,NA,5,4,1,3,1,3,4,3,4,4,3,-1,1,1,1,1,1,-1,1,71,100,1,3,3,4,3,4,4,-3,-3,-3,3,7,7,0,7,3,3,3,3,0,1,3,3,1,-1,4,-4,-4,-4,-1,0,1,0,-4,1,-4,-4,4,4,1,0,0
137,0,0,2,2,0,2,2,23,0.441,0.484,0.041,4,4,1,3,1,4,4,4,2,4,5,0,5,0,0,0,0,1,0,3,2,3,1,2,3,2,39.81098641,4.920870425,42.75469832,52.32443126,1,3,4,4,4,3,2,3,2,4,2,0,0,-1,-1,0,0,1,1,85,100,1,2,0,3,2,2,6,-3,-3,-3,-3,2,3,-1,6,0,-1,-1,-3,-3,-3,-2,3,2,2,3,2,0,0,1,3,-1,0,0,0,0,0,0,0,0,0,1
138,0,1,1,5,1,0,2,34,0.441,0.484,0.041,4,4,0,0,1,3,3,0,2,3,0,0,5,0,0,5,1,1,2,4,4,4,3,4,3,3,NA,NA,NA,NA,"4,6",4,1,1,1,2,4,1,4,4,2,-1,1,1,1,1,1,1,1,96,100,1,2,2,4,4,4,7,-3,-3,-3,-3,2,2,-2,5,-2,3,3,-2,-3,-3,3,3,-3,-2,-3,-2,-1,1,1,-2,1,-1,1,3,-3,-3,-1,2,2,-3,0
139,0,0,2,3,1,2,2,49,0.441,0.484,0.041,2,4,0,2,0,2,2,2,2,3,1,0,1,0,0,1,0,1,1,4,4,1,1,1,3,2,NA,NA,NA,NA,"1,2,4",4,2,2,3,2,5,1,4,4,3,1,1,1,1,1,0,1,1,60,60,2,3,2,3,5,2,7,-1,-2,-3,2,4,4,3,5,2,3,3,-1,1,-2,1,-3,-1,-3,2,0,1,-1,1,1,-1,1,-1,1,1,1,1,-2,-1,-3,0
140,0,0,1,4,0,-2,2,29,0.041,0.002,0.953,4,4,2,2,2,3,4,2,2,3,5,0,4,0,0,5,3,3,1,4,4,3,3,3,2,3,71.53716216,3.541912633,61.86540732,34.59268005,"1,4,6",3,2,3,2,1,4,3,4,4,3,1,1,0,1,0,1,1,1,100,100,1,1,0,3,2,2,7,3,-3,-3,2,0,1,3,4,0,3,3,-3,-3,-3,-3,3,0,0,-2,-4,0,0,0,-3,0,0,0,0,0,0,0,0,-4,-3,1
141,0,0,1,4,0,-2,2,29,0.041,0.002,0.953,4,4,2,2,2,3,4,2,2,3,5,0,4,0,0,5,3,3,1,4,4,3,3,3,2,3,NA,NA,NA,NA,5,5,1,1,2,1,4,1,5,3,3,0,0,0,1,0,1,1,1,100,0,1,2,0,2,3,4,7,-3,-3,-3,-3,1,4,0,7,-3,0,2,-3,-3,-3,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,2,4,0,-3,2,39,0.506,0.462,0.015,4,4,2,1,1,3,1,2,1,4,1,0,0,0,0,4,2,2,1,4,3,3,2,2,2,4,NA,NA,NA,NA,"2,4",4,2,2,3,1,4,1,5,3,2,1,-1,0,1,0,0,0,1,80,100,1,1,1,1,2,1,5,-3,-3,-3,-3,0,2,-3,7,-3,3,3,-3,-3,-3,0,3,4,4,0,0,0,-4,-4,0,-4,4,4,0,4,0,4,-4,4,-4,0
143,0,0,1,4,0,2,2,24,0.506,0.462,0.015,4,4,2,2,3,3,2,1,1,4,5,0,5,0,0,4,1,2,1,3,3,2,1,2,2,1,78.48518112,91.21212121,3.58974359,5.198135198,"1,4",5,1,1,4,3,4,2,4,4,1,0,1,-1,-1,0,0,-1,1,100,100,2,2,0,3,3,2,7,-2,-3,-3,3,3,7,3,7,3,3,2,-3,1,1,1,-3,0,0,0,0,0,4,0,0,4,-1,-4,1,1,-4,0,0,-2,-1,1
144,0,0,1,4,0,1,1,24,0.506,0.462,0.015,4,4,2,2,3,3,2,1,1,4,5,0,5,0,0,4,1,2,1,3,3,2,1,2,2,1,NA,NA,NA,NA,"1,4",4,3,2,3,1,4,2,4,4,1,1,1,0,1,0,1,1,1,60,80,1,2,0,2,2,2,7,-2,-3,-3,3,5,3,0,7,-1,3,1,-3,-3,-3,2,3,-2,-3,0,-4,-1,-2,1,-3,0,-1,-3,-3,-1,-4,-1,1,-2,1,0
145,0,1,2,4,0,1,1,28,0.506,0.462,0.015,4,4,2,2,2,3,4,1,3,3,5,0,5,1,0,5,2,2,2,4,3,3,2,3,4,2,78.6237785,92.90523045,2.848265148,4.246504402,"4,6",4,3,3,2,1,4,3,4,3,1,-1,1,0,1,1,0,1,-1,61,84,2,2,2,3,3,3,3,-3,-3,-2,-1,3,4,1,7,1,3,2,-3,-1,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,0,1,2,2,0,1,1,25,0.953,0.023,0.008,4,4,2,2,2,3,3,2,2,3,5,0,5,5,0,0,0,1,1,4,3,3,2,3,3,2,NA,NA,NA,NA,5,5,5,1,3,1,5,1,5,4,1,0,0,0,0,0,0,0,0,10,50,1,2,1,3,2,2,5,-3,-3,-3,-3,0,2,-2,2,-3,3,3,-3,-3,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,2,1,1,-3,1,35,0.923,0.003,0.049,4,4,3,3,2,4,4,4,2,3,4,0,4,1,0,4,1,1,2,4,2,4,3,3,3,4,NA,NA,NA,NA,2,4,2,2,3,2,4,1,3,4,1,0,1,0,0,0,0,0,1,100,100,1,2,2,3,3,1,6,-3,-3,-3,0,2,4,0,4,3,3,3,-3,-3,-3,0,3,0,0,0,0,-4,-4,-4,0,-2,0,0,0,0,0,-4,-4,-4,0,0
148,0,0,1,4,0,-1,1,25,0.325,0.02,0.625,4,4,1,2,1,2,3,2,1,4,5,0,5,0,0,2,0,1,1,4,4,4,2,3,3,3,NA,NA,NA,NA,"1,5",5,1,1,3,2,4,2,4,4,0,0,0,0,0,0,0,0,0,100,100,2,2,1,2,2,2,6,-3,-2,-2,-1,3,3,-2,3,-1,3,3,-1,-1,-2,-2,-1,0,0,0,0,0,0,0,0,0,-3,-1,0,-1,-1,0,0,0,0,0
149,0,0,1,4,0,1,1,30,0.325,0.02,0.625,4,4,2,2,2,3,3,3,2,4,5,0,5,0,0,3,2,1,1,4,4,4,4,4,3,3,NA,NA,NA,NA,1,4,2,1,4,2,4,2,4,4,3,0,0,0,1,0,-1,0,1,40,51,1,2,0,3,1,2,7,-2,-3,-3,-3,1,7,0,1,-3,1,3,-3,-1,-1,-3,3,4,0,3,-2,0,0,-3,0,-2,3,-2,-4,1,0,0,-3,-4,4,0
150,0,1,2,3,1,0,2,28,0.083,0.013,0.853,4,4,3,3,3,3,3,2,4,4,0,0,5,0,0,5,2,3,0,4,4,4,4,2,4,1,NA,NA,NA,NA,1,3,2,3,1,2,4,2,3,0,1,-1,0,-1,-1,-1,1,1,1,48,43,1,2,0,1,2,1,7,-3,-3,-3,-2,1,4,-1,6,-2,2,3,-3,-1,-1,0,2,-3,-3,-1,-1,-3,-3,-1,0,0,-2,0,2,0,-2,0,-1,2,2,0
151,0,0,2,4,1,2,2,26,0.247,0.749,0,4,4,0,1,1,2,4,0,0,2,4,0,4,0,0,4,1,1,1,3,3,3,2,2,2,2,NA,NA,NA,NA,"1,6",4,2,1,2,1,4,1,5,4,2,0,0,1,-1,0,0,1,-1,90,85,2,4,1,3,5,3,6,0,-3,-3,3,6,3,-2,7,1,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,1,1,2,0,1,3,21,0.104,0.002,0.888,4,4,2,2,2,3,2,1,2,2,5,0,5,0,0,4,0,1,0,2,2,2,2,2,2,2,NA,NA,NA,NA,"4,5",4,2,1,1,2,4,1,4,4,2,0,1,0,1,0,0,0,1,30,80,1,3,0,3,3,3,2,-3,-3,-3,-3,1,2,0,4,0,3,2,0,0,0,-2,3,1,-3,1,-1,-4,-4,-4,0,1,4,-4,-4,4,1,-4,-4,-4,4,0
153,0,1,1,2,0,1,3,21,0.104,0.002,0.888,4,4,2,2,2,3,2,1,2,2,5,0,5,0,0,4,0,1,0,2,2,2,2,2,2,2,NA,NA,NA,NA,1,5,3,2,3,1,4,2,3,4,3,0,-1,0,1,1,1,1,1,90,98,2,4,1,4,2,1,1,-2,-2,-1,1,6,4,-1,7,1,1,3,-1,1,1,-2,3,-2,-2,-4,-3,0,1,-1,-2,4,-2,-3,-4,0,-2,0,-4,-3,-4,0
154,0,0,2,4,0,3,3,49,0.104,0.002,0.888,4,4,1,2,3,3,2,1,0,4,5,0,2,0,0,4,1,2,0,4,4,2,3,1,3,3,80.01876173,2.930832356,60.43376319,36.63540445,4,4,2,2,4,1,5,2,5,4,3,0,0,1,1,1,0,1,1,75,86,2,3,1,3,2,2,6,-2,-3,-3,0,5,2,0,4,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155,0,0,2,2,1,2,3,59,0.668,0.203,0.042,4,4,4,4,4,4,0,4,4,4,5,5,5,0,0,5,1,1,2,4,4,1,4,1,4,4,NA,NA,NA,NA,"2,6",2,3,4,2,3,3,1,3,3,2,0,1,-1,0,-1,-1,0,1,100,100,2,2,1,3,2,1,7,-3,-3,-3,-3,1,4,-3,7,-1,0,3,-3,-3,-1,0,3,0,0,0,-2,-1,-4,-2,-4,-4,4,2,1,1,-2,-1,-4,-4,-2,0
156,0,0,2,4,1,-1,3,34,0.668,0.203,0.042,4,4,1,1,1,4,4,1,3,3,5,0,1,0,0,2,0,1,0,4,4,2,3,0,3,1,NA,NA,NA,NA,"1,3",4,2,1,3,2,4,3,4,0,2,0,0,0,1,0,0,0,1,20,20,1,1,0,1,3,1,7,-3,-3,-3,-3,0,7,3,7,0,-1,3,-3,-3,-3,0,-1,0,0,0,0,0,0,0,0,0,4,4,-3,4,4,-4,-4,-4,4,0
157,0,1,1,4,0,-2,1,23,0.668,0.203,0.042,4,4,1,2,1,3,4,1,1,4,1,0,5,0,0,5,2,2,1,4,2,4,1,4,4,4,NA,NA,NA,NA,"3,6",5,1,1,3,4,4,1,4,2,2,0,0,0,0,0,0,0,1,50,100,1,2,0,2,2,2,6,-3,-2,-3,-1,4,7,-1,7,3,3,3,1,1,-2,3,-3,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,1,3,0,1,1,26,0.668,0.203,0.042,4,4,2,2,2,3,4,3,2,4,5,3,5,0,0,3,2,3,3,4,3,2,2,2,2,3,79.47761194,78.9514867,8.059467919,12.98904538,"1,5",3,4,4,4,3,3,3,3,4,2,1,0,1,1,-1,1,1,1,70,100,1,3,3,4,3,4,6,-3,-3,-1,1,6,3,2,6,3,1,2,-1,1,-1,1,2,-2,1,-1,-1,-1,0,1,-2,-3,-1,-1,-2,0,-2,0,-2,-2,-1,1
159,0,1,1,2,1,1,1,38,0.668,0.203,0.042,4,4,0,0,1,1,3,1,1,3,1,0,3,0,0,5,4,3,2,4,2,3,3,3,4,4,NA,NA,NA,NA,"2,3,4,6",4,3,1,3,3,4,2,5,2,3,1,1,0,1,0,0,0,1,95,96,2,1,2,1,2,3,7,-3,-3,-3,2,5,7,-3,7,1,3,3,-3,-2,1,1,3,-3,-2,1,-3,0,-3,-3,-2,-3,-3,-4,-3,-4,-4,0,-2,4,-3,0
160,0,1,1,2,1,1,1,29,0.668,0.203,0.042,4,4,1,2,1,2,3,3,2,3,5,0,5,1,0,4,3,1,0,4,3,4,3,3,2,3,NA,NA,NA,NA,"1,2,4,6",5,2,1,1,2,4,3,5,2,2,1,1,1,1,0,1,1,1,0,20,1,1,0,2,1,1,1,-3,-3,-3,-3,0,1,-3,1,-3,3,3,-3,-3,-3,-3,3,4,4,4,4,4,-4,-4,4,-4,4,4,-4,4,4,4,-4,-4,4,0
161,0,0,1,2,0,1,1,23,0.668,0.203,0.042,4,4,1,1,1,1,2,2,2,4,4,0,5,0,1,5,3,1,2,4,4,0,1,0,2,1,73.05909618,3.885804917,57.17684377,38.93735131,4,4,2,1,3,2,4,1,5,4,1,1,0,1,1,0,1,0,1,100,100,1,2,2,2,4,1,6,-3,-3,-3,-3,1,7,2,7,1,3,2,-3,-2,-3,-3,-1,0,2,0,0,0,0,0,0,0,2,-4,-3,1,2,-2,0,-4,4,1
162,0,0,1,4,1,1,1,33,0.668,0.203,0.042,4,4,2,2,3,4,3,2,1,4,4,0,5,0,0,5,4,1,1,4,4,2,2,2,3,4,NA,NA,NA,NA,"1,2",5,1,1,2,1,4,1,4,4,2,1,0,1,1,1,1,1,1,30,50,1,1,1,2,1,1,1,-3,-3,-3,-3,5,5,3,5,-2,3,3,3,0,1,3,3,4,4,4,2,-4,0,-4,3,-4,4,-3,-3,4,2,-4,-3,-3,3,0
163,0,1,1,2,0,0,1,19,0.668,0.203,0.042,4,4,1,1,1,1,4,1,1,4,5,0,5,0,1,4,3,2,1,4,4,3,3,3,3,4,NA,NA,NA,NA,"4,6",4,1,1,2,3,4,1,4,3,2,1,-1,1,1,1,1,1,1,60,80,2,2,2,3,3,1,7,-2,-2,-2,-2,4,7,-3,7,-3,3,3,0,-2,-2,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
